,,FAST School of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classes' Schedule for Semester: Fall- 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-130,AF3003Financial Institutions & Markets,,,,,,,BBA07A,,CS,,,,,,,,,EE,,,,,,,,,CS,,,,,,,,,MG4040 Multinational Fianacial Management,,,,,,,AF07A,,MG4040 Multinational Fianacial Management,,,,,,,AF07A
,,MDC118,CS3003Management Information System,,,,,,,BBA05A,,CS,,,,,,,,,CS,,,,,,,,,CS,,,,,,,,,CS2016Programming for Business ,,,,,,,BA03C,,SS2002Microeconomics,,,,,,,BA03C
,,Auditoriuam,,,,,,,,,,Seminar of Batch 23 in Auditorium,,,,,,,,,Seminar of Batch 24 in Auditorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labs,,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
,Labs,Khyber I,SL1016English - I- Lab,,,,,,,FT01B1,,SL1016English - I- Lab,,,,,,,FT01B1,,FL3001Financial Management Lab,,,,,,,AF05A,,FL3001Financial Management Lab,,,,,,,AF05A,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03A,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03A
,,Khyber II,SL1016English - I- Lab,,,,,,,FT01B2,,SL1016English - I- Lab,,,,,,,FT01B2,,LG3003Basic Econometrics Lab,,,,,,,AF05B,,LG3003Basic Econometrics Lab,,,,,,,AF05B,,CL2016Programming for Business -Lab,,,,,,,BA03A,,CL2016Programming for Business -Lab,,,,,,,BA03A
,,Khyber III,CL1001IT in Business-Lab,,,,,,,BA01B2,,CL1001IT in Business-Lab,,,,,,,BA01B2,,LG2009Data Analysis for Business -II Lab,,,,,,,BA03B,,LG2009Data Analysis for Business -II Lab,,,,,,,BA03B,,,,,,,,,,,,,,,,,,
,,Khyber IV,CL1001IT in Business-Lab,,,,,,,BA01B1,,CL1001IT in Business-Lab,,,,,,,BA01B1,,,,,,,,,,,CL1001IT in Business- Lab ,,,,,,,FT01A1,,CL1001IT in Business- Lab ,,,,,,,FT01A1,,,,,,,,,
,,CAL lab1,SL1016English - I- Lab,,,,,,,AF01C1,,SL1016English - I- Lab,,,,,,,AF01C1,,,,,,,,,,,,,,,,,,,,CS,,,,,,,,,,,,,,,,
,,Mehran -2,SL1016English - I- Lab,,,,,,,BBA01A1,,SL1016English - I- Lab,,,,,,,BBA01A1,,CS,,,,,,,,,,,,,,,,,,CS,,,,,,,,,,,,,,,,
,,Kohsar,CL1001IT in Business- Lab ,,,,,,,FT01A2,,CL1001IT in Business- Lab ,,,,,,,FT01A2,,,,,,,,,,,EE,,,,,,,,,EE,,,,,,,,,,,,,,,,
,,PTH-I,SL1016English - I- Lab,,,,,,,BBA01A2,,SL1016English - I- Lab,,,,,,,BBA01A2,,FL3001Financial Management Lab,,,,,,,BBA05B,,FL3001Financial Management Lab,,,,,,,BBA05B,,EE,,,,,,,,,,,,,,,,
,,Comp-I,CL1001IT in Business-Lab,,,,,,,AF01C1,,CL1001IT in Business-Lab,,,,,,,AF01C2,,CL3003Management Information System Lab,,,,,,,BBA05A,,CL3003Management Information System Lab,,,,,,,BBA05A,,EE,,,,,,,,,,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
Wednesday,Classes,A-01,AF1001Fundamental of Accounting,,,,,,,BBA01C,,MT1002Business Math - I,,,,,,,BBA01C,,MG1001Fundamental of Management,,,,,,,BA01A,,MG1001Fundamental of Management,,,,,,,BA01B,,MT1002Business Math-I,,,,,,,FT01C,,,,,,,,,
,,A-02,SS1007Islamic Studies/Ethics (8:30-10:20),,,,,,,,,,BBA01A,SS1018 U- Quran (10:30-11:20,,,,,BBA01A,,AF1001Fundamental of Accounting,,,,,,,BA01B,,AF1001Fundamental of Accounting,,,,,,,BA01A,,SS2002Microeconomics,,,,,,,BBA03C,,SS2002MicroeconomicsAF03A,,,,,,,AF03A
,,A-03,,,,,,,,,,AF1001Fundamental of Accounting,,,,,,,BBA01B,,AF1001Fundamental of Accounting,,,,,,,BBA01A,,AF 3001Financial ManagementB,,,,,,,BA05C,,MG2009Data Analysis for Business II,,,,,,,BA03A,,MG2009Data Analysis for Business II,,,,,,,BA03B
,,A-04,SS1016English - I (8:30-10:20),,,,,,,,,,,BA01B,,,,,,,AF1001Fundamental of Accounting,,,,,,,FT01C,,MG1002Marketing Management,,,,,,,FT01C,,MG2011 Envirr S & S for Business,,,,,,,BA03B,,MG2011 Envirr S & S for Business,,,,,,,BA03A
,,A-101,AF1001Fundamental of Accounting,,,,,,,FT01A,,AF1001Fundamental of Accounting,,,,,,,FT01B,,MG1002Marketing Management,,,,,,,AF01C,,MT1002Business Math - I,,,,,,,AF01C,,MG3012Blockchain Technology for Business,,,,,,,FT05C,,SS1002Islamic Studies/Ethics,,,,,,,FT05C
,,A-102,MG1002Marketing Management,,,,,,,FT01B,,MG1002Marketing Management,,,,,,,FT01A,,MG1001Fundamental of Management,,,,,,,BA01C,,SS1013Ideology and Constitution of Pakistan (1:00-02:55),,,,,,,,,,BA01C,SS1019 U- Seerah 03:00-04:00,,,,,BA01C,,,,,,,,,
,,A-103,CS2012Intro. to Object Oriented Programming,,,,,,,FT03A,,CS2012Intro. to Object Oriented Programming,,,,,,,FT03B,,MT1002Business Math-I,,,,,,,FT01B,,MT1002Business Math-I,,,,,,,FT01A,,MG2003Consumer Behaviour,,,,,,,BA05B,,MG2003Consumer Behaviour,,,,,,,BA05A
,,A-104,AF2004Business Finance,,,,,,,FT03B,,AF2004Business Finance,,,,,,,FT03A,,MT1002Business Math - I,,,,,,,AF01B,,MT1002Business Math - I,,,,,,,AF01A,,AF 3001Financial Management,,,,,,,BA05A,,AF 3001Financial ManagementB,,,,,,,BA05B
,,A- 201,AF4005Audit & Assurance,,,,,,,AF07A,,AF4006Investment Analysis & Management,,,,,,,AF07A,,MG3003Basic Econometrics,,,,,,,FT05B,,MG3003Basic Econometrics,,,,,,,FT05A,,,,,,,,,,,,,,,,,,
,,A- 202,SS1003Pakistan Studies,,,,,,,BBA07A,,SS1003Pakistan Studies,,,,,,,BBA07B,,SS1002Islamic Studies/EthicsFT05A,,,,,,,FT05A,,SS1002Islamic Studies/EthicsFT05A,,,,,,,FT05B,,Digital Marketing,,,,,,,BBA07A,,Digital Marketing,,,,,,,BBA07A
,,A- 203,MG3002Business Law,,,,,,,AF05A,,MG3002Business Law,,,,,,,AF05B,,SS2041Critical Thinking (11:30-01:20),,,,,,,,,,BA03B,SS2019 Psychology 1:25-03:15,,,,,,,,,,,FT03B,SS2042Community Services 03:20-05:10,,,,,,,,,,,FT03B
,,A--210,AF3004Accounting for Decision Making,,,,,,,AF05B,,AF3004Accounting for Decision Making,,,,,,,AF05A,,AF 3001Financial Management,,,,,,,AF05A,,AF 3001Financial Management,,,,,,,AF05B,,MG3004Human Resource ManagementBBA05A,,,,,,,BBA05C,,,,,,,,,
,,B-130,SS2002Microeconomics,,,,,,,BBA03A,,SS2002Microeconomics,,,,,,,BBA03B,,MG3004Human Resource ManagementBBA05A,,,,,,,BBA05B,,MG3004Human Resource Management,,,,,,,BBA05A,,MG3006Operations Management,,,,,,,BBA05B,,MG3006Operations Management,,,,,,,BBA05A
,,MEDC118,AF2003Management Accounting,,,,,,,BBA03B,,AF2003Management Accounting,,,,,,,BBA03A,,AF2003Management Accounting,,,,,,,BBA03C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labs,Labs,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
,,Khyber I,CL1001IT in Business-Lab,,,,,,,AF01A1,,CL1001IT in Business-Lab,,,,,,,AF01A1,,BL3004Database Systems for Business- Lab,,,,,,,BA05A,,BL3004Database Systems for Business- Lab,,,,,,,BA05A,,CL2012Intro to OOP -Lab,,,,,,,FT03A,,CL2012Intro to OOP -Lab,,,,,,,FT03A
,,Khyber II,SL1016English - I- Lab,,,,,,,AF01A2,,SL1016English - I- Lab,,,,,,,AF01A2,,FL3001Financial Management Lab,,,,,,,BA05B,,FL3001Financial Management Lab,,,,,,,BA05B,,CL2016Programming for Business -Lab,,,,,,,BA03C,,CL2016Programming for Business -Lab,,,,,,,BA03C
,,Khyber III,CL1001IT in Business-Lab,,,,,,,AF01B1,,CL1001IT in Business-Lab,,,,,,,AF01B1,,LG2009Data Analysis for Business -II Lab,,,,,,,AF03A,,LG2009Data Analysis for Business -II Lab,,,,,,,AF03A,,LG3003Basic Econometrics Lab,,,,,,,FT05B,,LG3003Basic Econometrics Lab,,,,,,,FT05B
,,Khyber IV,SL1016English - I- Lab,,,,,,,AF01B2,,SL1016English - I- Lab,,,,,,,AF01B2,,LG2009Data Analysis for Business -II LabAF03B,,,,,,,AF03B,,LG2009Data Analysis for Business -II LabAF03B,,,,,,,AF03B,,CL3010Web Programming -Lab,,,,,,,FT05A,,CL3010Web Programming -Lab,,,,,,,FT05A
,,Pth-I,CL1001IT in Business-Lab,,,,,,,BA01C1,,CL1001IT in Business-Lab,,,,,,,BA01C1,,SL1016English - I- Lab,,,,,,,BBA01B1,,SL1016English - I- Lab,,,,,,,BBA01B1,,FL1002 Finacial Accounting Lab,,,,,,,MG0A,,FL1002 Finacial Accounting Lab,,,,,,,MG0A
,,Kohsar,CL1001IT in Business-Lab,,,,,,,BA01C2,,CL1001IT in Business-Lab,,,,,,,BA01C2,,EE,,,,,,,,,EE,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pth-II,,,,,,,,,,,,,,,,,,,SL1016English - I- Lab,,,,,,,BBA01B2,,SL1016English - I- Lab,,,,,,,BBA01B2,,,,,,,,,,,,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
Thursday,Classes,A-01,SS2018 Sociology   (8:30-10:20),,,,,,,,,,,BBA01C,SS1007Islamic Studies/Ethics 10:30-12:20),,,,,,,,,BBA01C,,SS1018 U- Quran 12:25-01:15,,,,,BBA01C,,,,,,,,,,,,,,,,,,,,,,,,
,,A-02,MT1002Business Math - I,,,,,,,BBA01A,,MT1002Business Math - I,,,,,,,BBA01B,,CS3003Management Information System,,,,,,,BBA05B,,MG3006Operations Management,,,,,,,BBA05C,,MG2009Data Analysis for Business - II,,,,,,,AF03A,,MG2009Data Analysis for Business - II,,,,,,,AF03B
,,A-03,MG1001Fundamental of Management,,,,,,,BBA01B,,MG1001Fundamental of Management,,,,,,,BBA01A,,SS1007Islamic Studies/Ethics  (11:30-1:20),,,,,,,,,,FT01B,SS1018 U- Quran  1:30- 02:20,,,,,FT01B,,SS2002Microeconomics,,,,,,,BA03A,,SS2002Microeconomics,,,,,,,BA03B
,,A-04,AF1001Fundamental of Accounting,,,,,,,BA01C,,MT1002Business Math-I,,,,,,,BA01C,,MT1002Business Math-I,,,,,,,BA01B,,MT1002Business Math-I,,,,,,,BA01A,,CS2016Programming for Business ,,,,,,,BA03B,,CS2016Programming for Business ,,,,,,,BA03A
,,A-101,MG1002Marketing Management,,,,,,,AF01B,,MG1002Marketing Management,,,,,,,AF01A,,AF1001Fund of Accounting,,,,,,,AF01C,,MG4013Business Strategy,,,,,,,AF07A,,MG2011 Envirr S & S for Business,,,,,,,BA03C,,SS2002Microeconomics,,,,,,,BA03C
,,A-102,AF1001Fund of Accounting,,,,,,,AF01A,,AF1001Fund of Accounting,,,,,,,AF01B,,CS1001IT in Business (11:30-01:20),,,,,,,,,,FT01A,SS1016English - I  (01:25-3:15,,,,,,,,,,FT01A,,,,,,,,,,,,,
,,A-103,CS1001IT in Business (08:30-10:20),,,,,,,,,,FT01C,SS1016English - I (10:30-12:20),,,,,,,,,,,BA01A,SS2019 Psychology 12:25:02-20,,,,,,,,,,,FT03A,,,,,,SS2042Community Services 03:20-05:10,,,,,,,,,,,,FT03A
,,A-104,MG4003Strategic Management,,,,,,,BBA07A,,MG4003Strategic Management,,,,,,,BBA07B,,MG3003Basic Econometrics,,,,,,,FT05C,,CS3011Enterprise Information System,,,,,,,FT05C,,MG2009Data Analysis for Business II,,,,,,,BBA03A,,MG2009Data Analysis for Business II,,,,,,,BBA03B
,,A- 201,MG4011Entreprenureship,,,,,,,BA07A,,BA4001Decision Scinces for Business,,,,,,,BA07A,,SS1003Pakistan Studies,,,,,,,BA07A,,SS1003Pakistan Studies,,,,,,,AF07A,R,MG2010 Business communication,,,,,,,BBA03B,,MG2010 Business communication,,,,,,,BBA03A
,,A- 202,MG3003Basic Econometrics,,,,,,,AF05B,,MG3003Basic Econometrics,,,,,,,AF05A,,CS3010Web Programming,,,,,,,FT05B,,CS1001IT in Business (01:00-02:50),,,,,,,,,,,,AF01C,,,,,,,,,,,,,
,,A- 203,CS3003Management Information System,,,,,,,AF05A,,CS3003Management Information System,,,,,,,AF05B,,MG3012Blockchain Technology for Business,,,,,,,FT05A,,CS3010Web Programming,,,,,,,FT05A,, SS1006 English -II (Repeat Course),,,,,,,MG0A,, SS1006 English -II (Repeat Course),,,,,,,MG0A
,,A--210,AF3003Financial Institutions & Markets,,,,,,,BBA07B,,AF3003Financial Institutions & Markets,,,,,,,BBA07A,,MG2010 Business communication,,,,,,,BBA03C,,MG3012Blockchain Technology for Business,,,,,,,FT05B,,MG2010Business Communication,,,,,,,AF03B,,MG2010Business Communication,,,,,,,AF03A
,,B-130,CS3003Management Information System,,,,,,,BBA05C,,AF 3001Financial Management,,,,,,,BA05B,,AF 3001Financial Management,,,,,,,BA05A,,MG2009Data Analysis for Business II,,,,,,,BBA03C,,CS,,,,,,,,,CS,,,,,,,
,,Auditorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seminar of batch 2021 &2022,,,,,,,,,,,,,,,,
,Labs,Labs,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
,,Khyber I,FL3001Financial Management Lab,,,,,,,BBA05A,,FL3001Financial Management Lab,,,,,,,BBA05A,,LG3003Basic Econometrics Lab,,,,,,,AF05A,,LG3003Basic Econometrics Lab,,,,,,,AF05A,,CL2012Intro to OOP -Lab,,,,,,,FT03B,,CL2012Intro to OOP -Lab,,,,,,,FT03B
,,Khyber II,CL3003Management Information System Lab,,,,,,,BBA05B,,CL3003Management Information System Lab,,,,,,,BBA05B,,CL3003Management Information System Lab,,,,,,,AF05B,,CL3003Management Information System Lab,,,,,,,AF05B,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03C,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03C
,,Khyber III,SL1016English - I- Lab,,,,,,,BA01B1,,SL1016English - I- Lab,,,,,,,BA01B1,,SL1016English - I- Lab,,,,,,,FT01C1,,SL1016English - I- Lab,,,,,,,FT01C1,,,,,,,,,,,,,,,,,,
,,Khyber IV,SL1016English - I- Lab,,,,,,,BA01B2,,SL1016English - I- Lab,,,,,,,BA01B2,,CL1001IT in Business-Lab,,,,,,,FT01C2,,CL1001IT in Business-Lab,,,,,,,FT01C2,,,,,,,,,,,,,,,,,,
,,Pth-I,CL1001IT in Business-Lab,,,,,,,FT01B1,,CL1001IT in Business-Lab,,,,,,,FT01B1,,LG2009Data Analysis for Business -II Lab,,,,,,,BA03A,,LG2009Data Analysis for Business -II Lab,,,,,,,BA03A,,EE,,,,,,,,,,,,,,,,
,,Comp-I,CL1001IT in Business-Lab,,,,,,,FT01B2,,CL1001IT in Business-Lab,,,,,,,FT01B2,,SL1016English - I- Lab,,,,,,,BA01C1,,SL1016English - I- Lab,,,,,,,BA01C1,,EE,,,,,,,,,,,,,,,,
,,Pth-II,,,,,,,,,,,,,,,,,,,SL1016English - I- Lab,,,,,,,BA01C2,,SL1016English - I- Lab,,,,,,,BA01C2,,EE,,,,,,,,,,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
